John Brunner_author_The Infinitive of Go	[https://en.wikipedia.org/wiki/The_Infinitive_of_Go]
Ringo Starr_birthPlace_Liverpool	[https://en.wikipedia.org/wiki/Terraced_houses_in_the_United_Kingdom, https://en.wikipedia.org/wiki/Toxteth]
Than Shwe_office_Belgium	[]
Godzilla (1998 film)_starring_Jean Reno	[]
Jim Henson_deathPlace_New York City	[]
Shirin Ebadi_award_Nobel Peace Prize	[https://en.wikipedia.org/wiki/Syed_Hassan_(educationist), https://en.wikipedia.org/wiki/Human_Rights_Logo, https://en.wikipedia.org/wiki/Dawn_Engle, https://en.wikipedia.org/wiki/David_Ebershoff, https://en.wikipedia.org/wiki/PeaceJam, https://en.wikipedia.org/wiki/Kaci_Kullmann_Five, https://en.wikipedia.org/wiki/Business_for_Peace_Foundation, https://en.wikipedia.org/wiki/Partnership_Africa_Canada, https://en.wikipedia.org/wiki/Tawakkol_Karman, https://en.wikipedia.org/wiki/Frank_Mugisha, https://en.wikipedia.org/wiki/International_Student_Festival_in_Trondheim, https://en.wikipedia.org/wiki/Charmian_Gooch, https://en.wikipedia.org/wiki/Defenders_of_Human_Rights_Center, https://en.wikipedia.org/wiki/Rudi_Bakhtiar, https://en.wikipedia.org/wiki/Simon_Fraser_University, https://en.wikipedia.org/wiki/Reporters_Without_Borders, https://en.wikipedia.org/wiki/Michael_Douglas, https://en.wikipedia.org/wiki/List_of_Iranian_women, https://en.wikipedia.org/wiki/Ruben_Vardanyan_(businessman), https://en.wikipedia.org/wiki/Shirin_Ebadi, https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi, https://en.wikipedia.org/wiki/Ole_Danbolt_Mjøs, https://en.wikipedia.org/wiki/Thorolf_Rafto_Memorial_Prize, https://en.wikipedia.org/wiki/Thorolf_Rafto, https://en.wikipedia.org/wiki/Women's_rights_in_Iran, https://en.wikipedia.org/wiki/Women's_education_in_Iran, https://en.wikipedia.org/wiki/List_of_University_of_British_Columbia_people, https://en.wikipedia.org/wiki/Nobel_Women's_Initiative, https://en.wikipedia.org/wiki/Manhae_Prize, https://en.wikipedia.org/wiki/2003_Nobel_Peace_Prize, https://en.wikipedia.org/wiki/Fronteiras_do_Pensamento, https://en.wikipedia.org/wiki/2010_Bergen_International_Film_Festival, https://en.wikipedia.org/wiki/Peace_movement, https://en.wikipedia.org/wiki/List_of_visitors_to_Tsitsernakaberd, https://en.wikipedia.org/wiki/Jody_Williams, https://en.wikipedia.org/wiki/Blogging_in_Iran, https://en.wikipedia.org/wiki/List_of_Muslim_leaders_and_politicians, https://en.wikipedia.org/wiki/Intellectual_movements_in_Iran, https://en.wikipedia.org/wiki/France–Iran_relations, https://en.wikipedia.org/wiki/Timeline_of_the_2009_Iranian_election_protests, https://en.wikipedia.org/wiki/Pierre-Emmanuel_Le_Goff, https://en.wikipedia.org/wiki/Asia, https://en.wikipedia.org/wiki/List_of_peace_activists, https://en.wikipedia.org/wiki/Mahmoud_Asgari_and_Ayaz_Marhoni, https://en.wikipedia.org/wiki/Mairead_Maguire, https://en.wikipedia.org/wiki/Conscience]
Heike Kamerlingh Onnes_award_Nobel Prize in Literature	[]
Carlos Boozer_team_New Orleans Hornets	[https://en.wikipedia.org/wiki/2007–08_NBA_season, https://en.wikipedia.org/wiki/2009–10_Utah_Jazz_season]
Philip K. Dick_author_Sirius	[https://en.wikipedia.org/wiki/Screamers_(1995_film)]
Camp Rock_starring_Meaghan Jette Martin	[https://en.wikipedia.org/wiki/Gabrielle_Pietermann, https://en.wikipedia.org/wiki/Aaryn_Doyle]
Mean Girls_starring_Amanda Seyfried	[https://en.wikipedia.org/wiki/Mean_Girls, https://en.wikipedia.org/wiki/Rachel_McAdams]
Charles Édouard Guillaume_award_Nobel Prize in Physics	[]
Charles Maurice de Talleyrand-Périgord_office_France	[https://en.wikipedia.org/wiki/List_of_people_convicted_of_treason, https://en.wikipedia.org/wiki/Jean-Claude_Brisville, https://en.wikipedia.org/wiki/Autun, https://en.wikipedia.org/wiki/Concert_of_Europe, https://en.wikipedia.org/wiki/July_9, https://en.wikipedia.org/wiki/List_of_foods_named_after_people, https://en.wikipedia.org/wiki/Invasion_of_Naples_(1806), https://en.wikipedia.org/wiki/Ministry_of_Charles-Maurice_de_Talleyrand-Périgord, https://en.wikipedia.org/wiki/Louis_Antoine_Fauvelet_de_Bourrienne, https://en.wikipedia.org/wiki/Mathieu_de_Montmorency, https://en.wikipedia.org/wiki/Baron_Jean-Conrad_Hottinguer, https://en.wikipedia.org/wiki/Realpolitik, https://en.wikipedia.org/wiki/Edmond_de_Talleyrand-Périgord]
Nelly Sachs_award_Nobel Prize in Literature	[https://en.wikipedia.org/wiki/Nelly_Sachs, https://en.wikipedia.org/wiki/Per_Olov_Enquist, https://en.wikipedia.org/wiki/Manfred_George, https://en.wikipedia.org/wiki/Shmuel_Yosef_Agnon, https://en.wikipedia.org/wiki/Elias_Canetti, https://en.wikipedia.org/wiki/Farrar,_Straus_and_Giroux, https://en.wikipedia.org/wiki/Israel, https://en.wikipedia.org/wiki/1966_in_poetry, https://en.wikipedia.org/wiki/Georg_Büchner_Prize, https://en.wikipedia.org/wiki/Walter_Arthur_Berendsohn, https://en.wikipedia.org/wiki/Norra_begravningsplatsen, https://en.wikipedia.org/wiki/Scandinavian_literature, https://en.wikipedia.org/wiki/German_literature, https://en.wikipedia.org/wiki/List_of_years_in_poetry, https://en.wikipedia.org/wiki/Paul_Celan]
Susannah Harker_spouse_Christel Khalil	[]
Ghostbusters II_starring_Robert Prosky	[]
Navigon_foundationPlace_Colorado Springs	[]
Jerry Pournelle_author_1634: The Ram Rebellion	[]
Ivo Andrić_award_Nobel Prize in Literature	[https://en.wikipedia.org/wiki/Nemanja_Raičević, https://en.wikipedia.org/wiki/Karen_Blixen, https://en.wikipedia.org/wiki/HKD_Napredak]
Lleyton Hewitt_birthPlace_Adelaide	[]
Stardock_foundationPlace_Livonia	[]
